;datatrimestre;valorPix;valorTED;valorTEC;valorCheque;valorBoleto;valorDOC;valorCartaoCredito;valorCartaoDebito;valorCartaoPrePago;valorTransIntrabancaria;valorConvenios;valorDebitoDireto;valorSaques;quantidadePix;quantidadeTED;quantidadeTEC;quantidadeCheque;quantidadeBoleto;quantidadeDOC;quantidadeCartaoCredito;quantidadeCartaoDebito;quantidadeCartaoPrePago;quantidadeTransIntrabancaria;quantidadeConvenios;quantidadeDebitoDireto;quantidadeSaques
0;2024-06-30;6403013,64;10662555,73;0,0;221553,82;2360420,4;0,0;631789,1;239101,56;77386,79;6189022,31;984002,13;585275,47;591903,75;15433584,9;203269,58;0,0;44981,97;1439104,18;0,0;4879269,34;4057958,85;3046202,02;357386,52;679409,28;3320504,73;698602,29
1;2024-03-31;5475186,35;9651625,56;925,26;190457,25;2248815,45;650,8;607470,96;235111,6;73035,61;5396558,41;1082621,22;568515,99;522123,86;13642850,7;203714,16;447,19;46468,88;1422709,26;662,65;4723437,71;3952365,16;2774237,04;321909,43;726660,81;3238627,21;683037,82
2;2023-12-31;5328344,78;10090921,81;5787,89;221424,78;2317765,95;4684,98;630191,34;259057,92;79592,4;5622307,18;992622,17;713985,32;644620,62;13088334,75;226471,15;2571,85;52101,15;1452479,44;4664,79;4813848,35;4238653,32;2974411,01;375748,53;669793,53;3245863,34;752444,89
3;2023-09-30;4491159,36;9960251,89;4156,38;218121,88;2296882,2;10131,89;581902,42;240827,84;69553,22;5432701,79;917960,43;696617,75;622701,08;11147409,98;217717,65;1765,08;54410,39;1487093,97;12613,82;4583771,68;4014361,45;2677826,63;318650,81;706678,69;2791758,96;758697,45
4;2023-06-30;3900377,43;10657463,13;4770,74;228408,82;2249058,2;11258,23;561910,94;238172,21;63923,28;5394386,03;930572,64;657368,51;638613,02;9396579,03;218819,11;1992,69;56339,37;1494217,09;10328,16;4434832,09;3929786,47;2426618,73;278674,95;735860,5;2557307,2;778454,0
5;2023-03-31;3447198,28;9919602,84;4535,17;240686,19;2211563,4;7467,11;535520,44;237175,13;61169,03;5753315,65;968203,13;639081,35;528932,43;8116395,5;228743,99;1957,96;57830,55;1510864,63;7530,9;4189059,28;3835192,13;2237800,76;259476,91;767130,14;2438727,3;655963,27
6;2022-12-31;3342913,94;10382121,63;5609,53;242259,61;2259674,59;9584,63;560765,41;264120,64;66081,98;5511068,32;935377,4;688621,87;611825,76;7807165,7;254289,85;2531,94;62606,24;1522483,73;9871,74;4334758,4;4115443,07;2303423,64;289650,44;737698,14;1936336,01;717703,89
7;2022-09-30;2936413,95;10437763,16;3735,46;267090,22;2248416,63;17106,46;521942,27;243632,86;55695,33;5503514,22;900010,86;728114,38;607773,39;6528602,08;256680,13;1677,77;68142,99;1538367,11;18047,28;4151713,82;3831079,03;1993806,85;274847,98;769091,91;1965282,74;725040,4
8;2022-06-30;2543384,4;10449574,67;4786,14;271008,09;2210099,22;17081,53;501514,74;245563,75;50925,72;5242642,7;903296,33;666854,65;708789,71;5447448,22;254587,79;2112,1;70141,14;1517092,79;17905,1;3974127,06;3778540,37;1750865,66;269502,24;777047,24;2019042,65;876660,3
9;2022-03-31;2067826,55;9507158,34;3865,81;255455,43;2032317,14;11976,36;453292,41;230186,87;43541,91;4789393,75;931426,96;687654,43;642753,79;4250023,75;256893,93;1795,35;71479,43;1490934,41;13194,98;3679415,97;3589968,33;1507246,16;278556,41;789421,14;2049557,88;838690,74
10;2021-12-31;1916418,68;9807293,11;5436,19;264298,16;2072053,93;14166,99;467911,25;257458,3;42420,5;4526131,58;900546,37;603616,19;705117,24;3836285,6;294063,73;2678,78;77752,86;1497704,81;16716,81;3741214,5;3849208,18;1430826,74;226318,22;755053,35;1809992,06;919580,38
11;2021-09-30;1556916,22;9257046,28;3684,13;271120,34;2001074,0;22306,75;399054,11;233970,03;33731,83;4380184,5;808629,48;586001,77;673720,99;2863336,94;296200,34;1790,07;80110,8;1493638,16;27667,96;3311505,26;3526062,88;1603852,67;244008,4;774410,72;1765464,8;918141,51
12;2021-06-30;1105735,2;8566787,27;3894,81;264944,31;1839452,36;23158,84;344999,68;214381,06;26760,54;4171595,71;710453,34;604018,43;685333,15;1871563,88;333917,74;1879,38;75417,98;1431427,43;28659,42;2841992,76;3141691,41;1264916,88;260756,78;733937,43;1709009,85;924449,9
13;2021-03-31;625046,52;7894414,16;4352,44;253527,92;1769759,68;21777,7;310412,13;204752,91;20327,69;3965203,17;728627,48;497283,04;673126,6;862337,86;354171,47;2181,17;79409,62;1386080,6;31687,35;2584404,06;3005004,65;1016901,48;274419,7;766141,92;1704253,83;926234,05
14;2020-12-31;149894,91;8036705,32;5137,42;278295,37;1919100,6;38705,14;332987,17;258471,49;19923,51;4095052,12;719279,59;456624,59;765824,47;176206,65;574879,66;2549,74;91594,82;1472868,82;58634,44;2672666,45;3483509,4;1056946,56;348828,24;750242,75;1700531,57;1084574,42
