;Unnamed: 0;trimestre;nomeBandeira;nomeFuncao;produto;qtdCartoesEmitidos;qtdCartoesAtivos;qtdTransacoesNacionais;valorTransacoesNacionais;qtdTransacoesInternacionais;valorTransacoesInternacionais
0;0;2021-07-01;Bandeira própria;Crédito;Básico Nacional;1938972;535612;2741493;521339586,1;0;0,0
1;1;2023-04-01;VISA;Crédito;Empresarial;3050384;1716709;43984902;12846611557,78;470796;397043258,04
2;2;2024-07-01;VISA;Pré-Pago;Empresarial;1548960;453317;2979851;166596853,06;6144;1607532,91
3;3;2021-01-01;MasterCard;Débito;Básico Internacional;83088117;21554284;567370086;39064611985,99;27511;9502222,14
4;4;2021-01-01;MasterCard;Crédito;Premium;2197074;1785104;107175156;21107092218,04;1234605;631224037,1
5;5;2022-07-01;MasterCard;Pré-Pago;Empresarial;1326421;452900;19051729;1150498383,35;0;0,0
6;6;2020-10-01;Elo;Pré-Pago;Básico Nacional;3844456;161214;504004;39249776,87;38;8225,98
7;7;2021-07-01;MasterCard;Débito;Platinum;864416;385714;9028660;816062254,61;1730;761974,94
8;8;2024-01-01;Elo;Crédito;Platinum;184620;96660;3464355;530583083,98;5366;1261233,71
9;9;2023-07-01;Elo;Débito;Empresarial;989166;394867;9191895;1227528692,45;0;0,0
10;10;2022-04-01;VISA;Débito;Empresarial;1326144;522000;18869912;2571506735,94;2248;714970,72
11;11;2020-07-01;MasterCard;Crédito;Platinum;7165375;5803369;195692548;28246331482,57;1477824;370989172,96
12;12;2020-04-01;MasterCard;Crédito;Empresarial;2012146;1461916;15100296;3788427501,75;264777;172009818,53
13;13;2024-01-01;Elo;Pré-Pago;Premium;6726;0;978;81617,26;0;0,0
14;14;2021-10-01;Bandeira própria;Pré-Pago;Outros;591217;246442;502900338;895538643,09;0;0,0
15;15;2021-04-01;MasterCard;Crédito;Outros;17649299;5982166;72472050;7428326531,97;103424;14094559,49
16;16;2023-01-01;American Express;Crédito;Empresarial;26598;18382;529885;356075147,53;25707;44451624,54
17;17;2021-04-01;VISA;Crédito;Outros;9880318;1904023;26253418;2698280828,34;88254;25284549,03
18;18;2022-01-01;Hipercard;Crédito;Empresarial;1603;980;8726;4162216,06;1;0,01
19;19;2022-10-01;Hipercard;Crédito;Intermediário;411;20;86;9411,08;1;0,01
20;20;2022-07-01;MasterCard;Débito;Platinum;1120864;616523;17359392;1315065580,88;6327;2708842,08
21;21;2020-04-01;Bandeira própria;Crédito;Outros;7230012;5121579;8354152;1013372201,92;0;0,0
22;22;2021-07-01;Elo;Débito;Outros;6088;1741;40934;106363,86;0;0,0
23;23;2022-07-01;MasterCard;Crédito;Corporativo;166240;103685;4327659;2231853629,57;242147;253636834,65
24;24;2022-10-01;MasterCard;Pré-Pago;Empresarial;2282694;881260;27461077;1906353988,44;7800;1274130,45
25;25;2020-01-01;VISA;Pré-Pago;Empresarial;1418;1082;18586;1585466,24;0;0,0
26;26;2021-01-01;American Express;Crédito;Intermediário;574163;348180;7818627;1349996974,89;54516;20703988,43
27;27;2023-10-01;MasterCard;Débito;Empresarial;1840152;431006;15493534;1033834993,12;26;22958,43
28;28;2024-01-01;Outras;Crédito;Básico Internacional;85387;72412;29448;14139619,5;0;0,0
29;29;2023-01-01;American Express;Crédito;Corporativo;68432;49995;1165487;1023587778,22;83905;134122134,34
30;30;2020-04-01;Elo;Débito;Empresarial;711850;301075;4930991;643004234,76;0;0,0
31;31;2023-04-01;VISA;Crédito;Intermediário;30269172;18566843;417828581;48914061616,01;1274354;285108014,16
32;32;2021-01-01;MasterCard;Crédito;Platinum;10973927;9053834;289236263;35818913397,89;1736575;417692086,75
33;33;2022-01-01;American Express;Crédito;Empresarial;21948;16437;475453;302644218,74;21197;32437478,7
34;34;2023-07-01;American Express;Crédito;Empresarial;27741;19039;609656;399183346,4;28837;42690132,56
35;35;2023-07-01;MasterCard;Pré-Pago;Intermediário;52918514;29521748;1202025035;42201512941,43;1;0,01
36;36;2021-01-01;Elo;Crédito;Outros;239296;138035;4529615;872527158,57;6519;4264011,01
37;37;2024-07-01;VISA;Crédito;Empresarial;3240491;1793057;49133501;15184402324,1;564976;469076397,96
38;38;2024-07-01;Bandeira própria;Débito;Básico Nacional;22027;9333;88;10938,97;0;0,0
39;39;2020-07-01;Outras;Débito;Outros;3483227;1879278;37663683;3514335509,79;0;0,0
40;40;2021-04-01;VISA;Débito;Básico Internacional;116541954;39742042;708800336;51140675764,99;28234;6488514,37
41;41;2022-04-01;Elo;Débito;Básico Internacional;69431;59153;578857;33395692,16;0;0,0
42;42;2020-04-01;Elo;Débito;Corporativo;1889;1;1;170,5;0;0,0
43;43;2024-07-01;Elo;Crédito;Platinum;137939;99959;3654322;551209383,92;5859;1479307,01
44;44;2020-01-01;American Express;Crédito;Platinum;466359;349194;11899109;2847010171,46;622335;481222525,58
45;45;2022-07-01;MasterCard;Débito;Intermediário;77811802;50283648;902667566;48599332350,55;42695;8859409,73
46;46;2020-07-01;MasterCard;Crédito;Básico Internacional;20760226;9960896;136653105;13406797809,86;510394;99819832,99
47;47;2022-10-01;MasterCard;Crédito;Empresarial;5278900;2576262;38238177;11525331705,83;540610;364269515,25
48;48;2023-04-01;MasterCard;Débito;Básico Nacional;9474150;3352841;76682580;5459519111,92;44;13061,04
49;49;2023-07-01;Elo;Pré-Pago;Básico Internacional;43568008;5724418;24653259;1336943463,28;3240;657549,79
50;50;2021-01-01;Elo;Crédito;Corporativo;24106;13163;45707;104809129,06;63;42203,9
51;51;2023-10-01;VISA;Crédito;Platinum;9842020;7221154;318504198;48871458242,56;2417099;817568796,81
52;52;2024-07-01;VISA;Pré-Pago;Intermediário;25781;448;2599;119416,21;0;0,0
53;53;2020-04-01;MasterCard;Pré-Pago;Outros;13352572;2616902;23550200;1837590022,71;234457;37879758,1
54;54;2021-01-01;VISA;Crédito;Premium;1838391;1332423;76000253;14701937707,33;575014;347667693,28
55;55;2023-04-01;MasterCard;Débito;Empresarial;1734814;428364;14619835;974851189,78;37;28001,68
56;56;2020-10-01;VISA;Débito;Básico Nacional;9258690;5167831;137748868;10042908771,3;890;171029,49
57;57;2024-04-01;MasterCard;Débito;Premium;650813;346575;8499101;598715502,65;1124;605372,6
58;58;2023-01-01;MasterCard;Pré-Pago;Básico Internacional;220351;137812;756318;50663149,54;1243;134791,17
59;59;2022-07-01;MasterCard;Crédito;Intermediário;104214886;66217870;1249278675;120347163284,55;5165492;737499221,32
60;60;2022-10-01;American Express;Crédito;Intermediário;448882;346292;9626019;1672960862,54;80842;41797989,77
61;61;2023-04-01;VISA;Crédito;Platinum;9867175;7132484;305986202;45717181800,7;2521436;929165394,54
62;62;2022-10-01;MasterCard;Débito;Premium;511773;326873;6825197;539401869,57;1193;634105,12
63;63;2023-04-01;MasterCard;Crédito;Empresarial;6101597;2807026;43918732;13108730312,18;687600;441373827,44
64;64;2021-04-01;MasterCard;Crédito;Platinum;11883963;9844024;321724134;40363989654,85;1927239;449119812,45
65;65;2023-07-01;VISA;Crédito;Platinum;9860000;7198200;309601681;46407016360,96;2677344;917111183,82
66;66;2023-07-01;Hipercard;Crédito;Platinum;1127183;1054576;19926077;3470890213,34;1;0,01
67;67;2022-01-01;VISA;Débito;Platinum;1811479;1070345;38507949;3587414332,41;528;110605,25
68;68;2022-10-01;MasterCard;Crédito;Premium;4211446;3491300;239911239;49301853908,72;4858925;2703401003,77
69;69;2022-04-01;VISA;Débito;Outros;937;132;10398;609159,38;0;0,0
70;70;2022-04-01;MasterCard;Crédito;Outros;19881345;6499210;78765041;8805551002,64;90485;14787190,35
71;71;2023-04-01;Bandeira própria;Crédito;Outros;13219439;3129080;9045979;1406358605,8;0;0,0
72;72;2021-10-01;MasterCard;Débito;Corporativo;3449;2273;90696;8357473,59;2;18,1
73;73;2021-10-01;MasterCard;Crédito;Empresarial;4395443;2400889;36611562;9321778754,22;420432;283326868,6
74;74;2022-04-01;MasterCard;Crédito;Corporativo;157499;96588;4043576;2035550486,48;218509;231596401,94
75;75;2024-01-01;American Express;Crédito;Premium;550480;436443;16791567;4539876688,05;443756;457435290,46
76;76;2023-01-01;MasterCard;Débito;Premium;546780;351392;7023372;523196315,35;1347;616007,56
77;77;2022-04-01;MasterCard;Crédito;Básico Internacional;69606309;23731876;265637394;25232099520,54;762415;164828553,47
78;78;2021-04-01;MasterCard;Débito;Básico Internacional;46647110;19459945;538866194;37791612781,12;31528;9728825,08
79;79;2021-01-01;VISA;Crédito;Empresarial;1614248;953555;23320893;6165363917,83;265302;236524695,05
80;80;2023-04-01;MasterCard;Débito;Outros;558009;243085;4413215;209200588,05;1097;321687,43
81;81;2024-07-01;MasterCard;Pré-Pago;Básico Nacional;2194556;84360;2194402;122153893,74;4476;305724,69
82;82;2022-01-01;MasterCard;Pré-Pago;Empresarial;886509;330717;11932510;729179122,73;0;0,0
83;83;2020-01-01;Elo;Débito;Básico Nacional;82265138;44263103;585366338;33610614691,22;0;0,0
84;84;2020-07-01;Elo;Crédito;Intermediário;2986762;1655127;26125677;2762616367,02;15949;1998199,18
85;85;2021-01-01;MasterCard;Crédito;Empresarial;2786419;1776917;23048797;5961030830,71;323763;210920820,29
86;86;2020-04-01;Elo;Pré-Pago;Básico Internacional;4489992;2625958;14809558;657380422,07;0;0,0
87;87;2020-07-01;Elo;Crédito;Outros;155720;95767;2732735;542096488,87;2887;2210585,65
88;88;2021-07-01;Bandeira própria;Débito;Outros;1177660;504518;4951051;361757453,37;0;0,0
89;89;2023-04-01;VISA;Débito;Básico Internacional;79081987;21886403;590318200;38906543177,25;23938;4956276,28
90;90;2020-01-01;VISA;Débito;Básico Nacional;8995690;4317923;101426025;6416265835,13;1374;179708,52
91;91;2021-04-01;MasterCard;Pré-Pago;Platinum;3119733;1875773;36989279;1884522014,71;0;0,0
92;92;2023-04-01;Elo;Pré-Pago;Básico Nacional;4513867;6112;31033;1100843,27;15;334,44
93;93;2022-01-01;American Express;Crédito;Intermediário;448255;334759;8696505;1525440079,88;65859;33653254,31
94;94;2022-07-01;VISA;Crédito;Intermediário;31279964;21301976;432348150;50514296811,67;1351818;315422675,04
95;95;2023-10-01;American Express;Crédito;Empresarial;27676;18805;599444;415304191,61;29814;43456958,04
96;96;2022-07-01;MasterCard;Pré-Pago;Platinum;5466048;2976279;80420555;3856858553,24;0;0,0
97;97;2021-10-01;MasterCard;Pré-Pago;Básico Internacional;1102;734;559;24249,36;0;0,0
98;98;2020-04-01;VISA;Débito;Empresarial;1561727;588688;13090179;1643930376,55;750;210879,26
99;99;2020-04-01;VISA;Débito;Outros;208;87;1846;92245,21;0;0,0
100;100;2024-04-01;VISA;Pré-Pago;Básico Internacional;68105009;14374131;202959206;8569261312,47;1920004;280306352,19
101;101;2021-04-01;Hipercard;Crédito;Intermediário;5872;2111;23978;2112291,57;1;0,01
102;102;2021-07-01;Elo;Pré-Pago;Básico Internacional;5363945;3442802;25606086;1136461652,18;373;78017,62
103;103;2021-04-01;VISA;Débito;Intermediário;3149096;2108683;48634435;4157209579,61;343;70604,02
104;104;2021-04-01;Elo;Débito;Empresarial;903058;371062;7897364;1091779471,58;0;0,0
105;105;2020-01-01;Hipercard;Crédito;Intermediário;3801973;3590838;52866044;7357021813,02;14;487,33
106;106;2023-01-01;MasterCard;Débito;Básico Nacional;461638;338722;10388314;799900242,8;20;5169,92
107;107;2020-07-01;Outras;Crédito;Intermediário;29713;18941;89968;16085763,47;202;32508,35
108;108;2020-10-01;MasterCard;Débito;Empresarial;1012771;313941;8443895;677758349,72;60;47807,04
109;109;2021-10-01;MasterCard;Pré-Pago;Empresarial;689169;274959;10048714;639256384,97;0;0,0
110;110;2020-10-01;MasterCard;Débito;Básico Nacional;708846;419067;11533560;925802913,94;5;5855,61
111;111;2024-04-01;VISA;Pré-Pago;Básico Nacional;16716665;3954387;58537127;3412386859,66;1106;172045,02
112;112;2022-07-01;MasterCard;Pré-Pago;Outros;19545879;2746560;33798298;1931888910,9;157943;34497864,03
113;113;2024-07-01;MasterCard;Débito;Outros;741164;183730;5099014;249690406,61;1136;826892,57
114;114;2020-01-01;American Express;Crédito;Corporativo;115623;101085;1774762;659388219,61;182543;178205064,36
115;115;2020-10-01;Elo;Crédito;Intermediário;2498027;1121699;17571220;1919123134,34;4118;615878,16
116;116;2021-10-01;Elo;Crédito;Premium;55627;48417;1855029;380397598,82;3488;2165094,26
117;117;2020-07-01;VISA;Pré-Pago;Corporativo;668034;130895;2205680;188057717,3;536527;100501072,23
118;118;2022-01-01;VISA;Débito;Básico Nacional;12308499;6658638;171524153;11533429361,03;1272;175816,0
119;119;2024-07-01;Elo;Pré-Pago;Outros;2767995;2584930;11938802;502523325,29;0;0,0
120;120;2024-01-01;VISA;Pré-Pago;Básico Internacional;38737541;14646677;170359011;7533159116,17;1492931;260100187,67
121;121;2022-04-01;Elo;Crédito;Outros;4331414;2047821;41280337;5727056511,64;58237;32386751,14
122;122;2021-01-01;VISA;Crédito;Platinum;6469142;4697150;190662251;28178366243,38;1102958;355717197,21
123;123;2020-07-01;Bandeira própria;Crédito;Básico Nacional;4235534;976354;2880793;253267552,71;0;0,0
124;124;2021-01-01;Elo;Crédito;Empresarial;485868;245878;4905861;1171420945,35;8118;2400956,24
125;125;2023-07-01;MasterCard;Crédito;Básico Internacional;96321835;29883768;323688703;32109537878,42;712230;109379911,32
126;126;2023-07-01;Elo;Crédito;Outros;320018;252300;13752387;3009042146,44;37596;21020737,73
127;127;2023-07-01;MasterCard;Débito;Outros;493113;236989;4609593;219460923,89;1126;2353510,02
128;128;2020-10-01;VISA;Crédito;Platinum;6274884;4613184;202822209;30411512908,21;1191994;388247732,3
129;129;2021-01-01;VISA;Pré-Pago;Corporativo;792538;114591;2696424;251703294,49;117899;28573484,48
130;130;2022-04-01;MasterCard;Crédito;Básico Nacional;22619563;5141985;66117755;6502278082,28;12047;1293342,62
131;131;2022-10-01;VISA;Pré-Pago;Outros;27502758;8186257;131600855;6237689825,17;122923;23863031,8
132;132;2021-07-01;Elo;Crédito;Empresarial;505686;265229;5382890;1364172183,2;5897;2787617,79
133;133;2020-10-01;Elo;Pré-Pago;Básico Internacional;4866538;3037149;26422008;1267435881,5;0;0,0
134;134;2023-07-01;VISA;Crédito;Premium;6829526;4649646;264305905;50958194146,36;4678199;2428067943,67
135;135;2020-01-01;Elo;Crédito;Básico Nacional;5357399;3076204;69458398;6000480695,23;79283;27189191,64
136;136;2022-10-01;Bandeira própria;Crédito;Outros;19631241;4739011;16053391;2635558867,75;0;0,0
137;137;2022-10-01;American Express;Crédito;Premium;218;201;12811;13916127,9;901;3655586,74
138;138;2023-10-01;MasterCard;Crédito;Corporativo;4113708;1428870;25891685;4043531739,12;360411;340666409,21
139;139;2020-04-01;American Express;Crédito;Empresarial;22514;17118;354436;152942559,26;1429;1381116,84
140;140;2020-01-01;MasterCard;Crédito;Outros;15072763;5344454;58584903;5406324520,82;111052;14696556,69
141;141;2020-04-01;VISA;Pré-Pago;Platinum;17407;220;0;0,0;3203;1204275,01
142;142;2024-04-01;VISA;Pré-Pago;Outros;26522361;7666478;60105572;3088874806,38;104610;16140478,16
