Data;Localidade;Valor
01/02/11;Brasil;-0,20
01/03/11;Brasil;-0,20
01/04/11;Brasil;0,70
01/05/11;Brasil;1,70
01/06/11;Brasil;-0,40
01/07/11;Brasil;0,10
01/08/11;Brasil;-2,20
01/09/11;Brasil;-0,10
01/10/11;Brasil;-0,20
01/11/11;Brasil;2,60
01/12/11;Brasil;2,30
01/01/12;Brasil;-1,40
01/02/12;Brasil;0,60
01/03/12;Brasil;1,00
01/04/12;Brasil;1,40
01/05/12;Brasil;0,70
01/06/12;Brasil;0,90
01/07/12;Brasil;-2,70
01/08/12;Brasil;7,10
01/09/12;Brasil;0,20
01/10/12;Brasil;1,80
01/11/12;Brasil;-0,30
01/12/12;Brasil;-3,00
01/01/13;Brasil;5,90
01/02/13;Brasil;0,20
01/03/13;Brasil;-0,60
01/04/13;Brasil;2,10
01/05/13;Brasil;-1,50
01/06/13;Brasil;1,50
01/07/13;Brasil;0,20
01/08/13;Brasil;2,20
01/09/13;Brasil;-0,40
01/10/13;Brasil;1,00
01/11/13;Brasil;-1,80
01/12/13;Brasil;-4,90
01/01/14;Brasil;2,10
01/02/14;Brasil;4,20
01/03/14;Brasil;1,60
01/04/14;Brasil;-2,10
01/05/14;Brasil;1,50
01/06/14;Brasil;-3,90
01/07/14;Brasil;2,50
01/08/14;Brasil;-1,60
01/09/14;Brasil;0,80
01/10/14;Brasil;0,80
01/11/14;Brasil;2,40
01/12/14;Brasil;-4,40
01/01/15;Brasil;-2,80
01/02/15;Brasil;-2,50
01/03/15;Brasil;1,20
01/04/15;Brasil;-2,50
01/05/15;Brasil;-1,70
01/06/15;Brasil;-1,00
01/07/15;Brasil;-0,30
01/08/15;Brasil;0,40
01/09/15;Brasil;0,60
01/10/15;Brasil;-0,60
01/11/15;Brasil;-1,50
01/12/15;Brasil;-0,50
01/01/16;Brasil;-1,00
01/02/16;Brasil;-3,10
01/03/16;Brasil;0,20
01/04/16;Brasil;-2,80
01/05/16;Brasil;-0,50
01/06/16;Brasil;-1,40
01/07/16;Brasil;-0,10
01/08/16;Brasil;-2,80
01/09/16;Brasil;-0,50
01/10/16;Brasil;-3,90
01/11/16;Brasil;0,60
01/12/16;Brasil;4,60
01/01/17;Brasil;7,80
01/02/17;Brasil;2,50
01/03/17;Brasil;-4,90
01/04/17;Brasil;7,20
01/05/17;Brasil;-1,60
01/06/17;Brasil;2,10
01/07/17;Brasil;-2,30
01/08/17;Brasil;0,30
01/09/17;Brasil;1,50
01/10/17;Brasil;0,20
01/11/17;Brasil;0,80
01/12/17;Brasil;-0,30
01/01/18;Brasil;-1,20
01/02/18;Brasil;1,10
01/03/18;Brasil;-0,30
01/04/18;Brasil;1,10
01/05/18;Brasil;-15,40
01/06/18;Brasil;28,50
01/07/18;Brasil;-5,20
01/08/18;Brasil;1,50
01/09/18;Brasil;-2,90
01/10/18;Brasil;-1,20
01/11/18;Brasil;1,10
01/12/18;Brasil;1,00
01/01/19;Brasil;-1,90
01/02/19;Brasil;-1,90
01/03/19;Brasil;-1,30
01/04/19;Brasil;0,10
01/05/19;Brasil;-1,50
01/06/19;Brasil;0,80
01/07/19;Brasil;0,80
01/08/19;Brasil;0,30
01/09/19;Brasil;0,80
01/10/19;Brasil;2,70
01/11/19;Brasil;-0,50
01/12/19;Brasil;-6,00
01/01/20;Brasil;4,60
01/02/20;Brasil;2,50
01/03/20;Brasil;-5,50
01/04/20;Brasil;-7,60
01/05/20;Brasil;3,80
01/06/20;Brasil;0,20
01/07/20;Brasil;3,10
01/08/20;Brasil;3,60
01/09/20;Brasil;3,90
01/10/20;Brasil;1,50
01/11/20;Brasil;0,10
01/12/20;Brasil;-0,80
01/01/21;Brasil;3,10
01/02/21;Brasil;4,40
01/03/21;Brasil;0,40
01/04/21;Brasil;1,60
01/05/21;Brasil;0,30
01/06/21;Brasil;-0,90
01/07/21;Brasil;0,20
01/08/21;Brasil;-2,30
01/09/21;Brasil;-0,30
01/10/21;Brasil;2,80
01/11/21;Brasil;1,30
01/12/21;Brasil;3,80
01/01/22;Brasil;1,40
01/02/22;Brasil;2,90
01/03/22;Brasil;0,70
01/04/22;Brasil;0,80
01/05/22;Brasil;1,40
01/06/22;Brasil;1,80
01/07/22;Brasil;1,70
01/08/22;Brasil;2,20
01/09/22;Brasil;-1,60
01/10/22;Brasil;-0,20
01/11/22;Brasil;0,50
01/12/22;Brasil;1,70
01/01/23;Brasil;-3,50
01/02/23;Brasil;3,80
01/03/23;Brasil;5,20
01/04/23;Brasil;-4,50
01/05/23;Brasil;4,50
01/06/23;Brasil;0,00
01/07/23;Brasil;2,40
01/08/23;Brasil;-2,70
01/09/23;Brasil;-0,20
01/10/23;Brasil;-2,30
01/11/23;Brasil;0,30
01/12/23;Brasil;-1,10
01/01/24;Brasil;0,70
01/02/24;Brasil;-1,60
01/03/24;Brasil;-0,10
01/04/24;Brasil;-0,10
01/05/24;Brasil;-0,60
01/06/24;Brasil;0,40
01/07/24;Brasil;-0,70
