Estado;Região;Data;Valor
Distrito Federal;Centro-Oeste;01/01/12;0,30
Goiás;Centro-Oeste;01/01/12;-5,20
Bahia;Nordeste;01/01/12;-0,70
Ceará;Nordeste;01/01/12;1,40
Pernambuco;Nordeste;01/01/12;-2,30
Espírito Santo;Sudeste;01/01/12;-2,30
Minas Gerais;Sudeste;01/01/12;-0,30
Rio de Janeiro;Sudeste;01/01/12;0,10
São Paulo;Sudeste;01/01/12;1,20
Paraná;Sul;01/01/12;-2,70
Rio Grande do Sul;Sul;01/01/12;0,80
Santa Catarina;Sul;01/01/12;-2,70
Distrito Federal;Centro-Oeste;01/01/13;4,50
Goiás;Centro-Oeste;01/01/13;-1,30
Bahia;Nordeste;01/01/13;0,60
Ceará;Nordeste;01/01/13;-5,10
Pernambuco;Nordeste;01/01/13;-3,40
Espírito Santo;Sudeste;01/01/13;-0,70
Minas Gerais;Sudeste;01/01/13;-0,40
Rio de Janeiro;Sudeste;01/01/13;-1,10
São Paulo;Sudeste;01/01/13;0,20
Paraná;Sul;01/01/13;0,30
Rio Grande do Sul;Sul;01/01/13;-2,10
Santa Catarina;Sul;01/01/13;0,50
Distrito Federal;Centro-Oeste;01/01/14;-2,20
Goiás;Centro-Oeste;01/01/14;4,20
Bahia;Nordeste;01/01/14;2,90
Ceará;Nordeste;01/01/14;-1,80
Pernambuco;Nordeste;01/01/14;0,10
Espírito Santo;Sudeste;01/01/14;2,20
Minas Gerais;Sudeste;01/01/14;-0,30
Rio de Janeiro;Sudeste;01/01/14;1,10
São Paulo;Sudeste;01/01/14;2,20
Paraná;Sul;01/01/14;0,30
Rio Grande do Sul;Sul;01/01/14;-0,50
Santa Catarina;Sul;01/01/14;0,70
Distrito Federal;Centro-Oeste;01/01/15;-5,20
Goiás;Centro-Oeste;01/01/15;1,40
Bahia;Nordeste;01/01/15;-10,50
Ceará;Nordeste;01/01/15;-8,60
Pernambuco;Nordeste;01/01/15;0,20
Espírito Santo;Sudeste;01/01/15;-2,80
Minas Gerais;Sudeste;01/01/15;-1,80
Rio de Janeiro;Sudeste;01/01/15;-0,30
São Paulo;Sudeste;01/01/15;-0,70
Paraná;Sul;01/01/15;-1,00
Rio Grande do Sul;Sul;01/01/15;2,20
Santa Catarina;Sul;01/01/15;-0,10
Distrito Federal;Centro-Oeste;01/01/16;9,20
Goiás;Centro-Oeste;01/01/16;-1,70
Bahia;Nordeste;01/01/16;-6,20
Ceará;Nordeste;01/01/16;-3,10
Pernambuco;Nordeste;01/01/16;-2,40
Espírito Santo;Sudeste;01/01/16;-4,90
Minas Gerais;Sudeste;01/01/16;0,60
Rio de Janeiro;Sudeste;01/01/16;-3,70
São Paulo;Sudeste;01/01/16;1,20
Paraná;Sul;01/01/16;-0,40
Rio Grande do Sul;Sul;01/01/16;0,70
Santa Catarina;Sul;01/01/16;0,90
Distrito Federal;Centro-Oeste;01/01/17;4,00
Goiás;Centro-Oeste;01/01/17;1,50
Bahia;Nordeste;01/01/17;2,40
Ceará;Nordeste;01/01/17;-2,10
Pernambuco;Nordeste;01/01/17;2,70
Espírito Santo;Sudeste;01/01/17;2,60
Minas Gerais;Sudeste;01/01/17;-1,80
