Data,Total,1. Serviços prestados às famílias,2. Serviços de informação e comunicação,"3. Serviços profissionais, administrativos e complementares","4. Transportes, serviços auxiliares aos transportes e correio",5. Outros serviços
2011-02-01,0.1,0.5,1.3,1.1,0.0,-0.6
2011-03-01,-0.3,0.5,-1.0,0.2,-2.0,0.1
2011-04-01,0.8,3.1,1.7,0.3,0.7,-1.6
2011-05-01,0.5,-1.6,-0.2,0.8,0.6,2.9
2011-06-01,0.0,0.8,0.6,-0.5,-0.4,-2.3
2011-07-01,1.5,2.1,1.7,0.7,0.6,1.5
2011-08-01,-0.3,-2.8,0.5,1.8,-1.2,0.4
2011-09-01,-0.1,0.5,0.9,-0.2,-0.8,-3.9
2011-10-01,-1.2,0.1,-0.4,-2.1,0.2,0.6
2011-11-01,1.6,0.7,-0.1,3.3,0.7,-0.1
2011-12-01,1.3,-1.3,0.2,0.4,4.7,-0.6
2012-01-01,-0.5,0.6,0.3,0.7,-3.7,7.1
2012-02-01,1.1,0.1,-0.6,-0.6,0.2,-4.7
2012-03-01,0.2,0.6,3.0,2.9,2.3,1.5
2012-04-01,-1.1,-1.6,-3.1,-2.4,0.2,-1.1
2012-05-01,1.5,1.6,3.3,0.8,-0.6,1.5
2012-06-01,0.6,1.0,-1.1,0.8,2.4,-0.3
2012-07-01,-0.3,-2.5,1.0,0.0,-2.6,1.3
2012-08-01,1.2,1.7,1.1,-0.2,4.4,-3.8
2012-09-01,-0.3,1.0,-1.0,-1.0,0.5,2.0
2012-10-01,0.4,-1.6,0.7,0.6,2.3,-3.3
2012-11-01,0.1,1.4,1.2,-1.2,-1.8,-2.1
2012-12-01,1.6,-0.1,1.6,2.2,0.5,5.9
2013-01-01,-1.0,-2.7,-0.5,-1.2,0.0,-1.9
2013-02-01,0.6,-1.2,1.0,0.6,0.0,1.6
2013-03-01,0.2,3.9,0.3,-1.3,1.0,-2.6
2013-04-01,1.1,-0.9,1.0,2.0,4.4,0.2
2013-05-01,-0.3,1.1,-0.4,-1.4,-2.5,-1.0
2013-06-01,1.1,-0.9,0.9,0.9,0.0,7.4
2013-07-01,-0.2,1.4,0.5,-0.3,0.2,-8.6
2013-08-01,-0.4,0.0,-0.1,-1.0,0.7,0.3
2013-09-01,0.7,-0.3,1.1,0.3,0.4,2.1
2013-10-01,0.6,0.5,1.3,-1.1,1.8,0.0
2013-11-01,1.0,0.1,0.7,2.2,-0.3,-1.4
